Ref,Val,Package,PosX,PosY,Rot,Side
"C4","C","C_0603_1608Metric",131.198000,-100.690000,180.000000,bottom
"C5","C","C_0603_1608Metric",131.210000,-104.750000,180.000000,bottom
"C6","C","C_0603_1608Metric",131.178000,-107.950000,180.000000,bottom
"C7","C","C_0603_1608Metric",135.720000,-97.890000,90.000000,bottom
"C8","C","C_0603_1608Metric",131.148000,-111.340000,180.000000,bottom
"C9","C","C_0603_1608Metric",135.040000,-114.170000,-90.000000,bottom
"C10","C","C_0603_1608Metric",141.650000,-114.260000,-90.000000,bottom
"C11","C","C_0603_1608Metric",138.360000,-113.960000,-90.000000,bottom
"C12","C","C_0603_1608Metric",148.200000,-111.230000,0.000000,bottom
"C13","C","C_0603_1608Metric",148.073000,-107.801000,0.000000,bottom
"C14","C","C_0603_1608Metric",148.045000,-104.957000,0.000000,bottom
"C15","C","C_0603_1608Metric",148.100000,-101.370000,0.000000,bottom
"C16","C","C_0603_1608Metric",145.110000,-98.170000,90.000000,bottom
"C17","C","C_0603_1608Metric",141.950000,-98.070000,90.000000,bottom
"C18","C","C_0603_1608Metric",138.680000,-98.120000,90.000000,bottom
"C19","C","C_0603_1608Metric",130.030000,-84.660000,90.000000,bottom
"C20","C","C_0603_1608Metric",131.870000,-92.485000,-90.000000,bottom
"C21","C","C_0603_1608Metric",166.320000,-54.030000,0.000000,bottom
"C24","C","C_0603_1608Metric",145.060000,-114.260000,-90.000000,bottom
"R5","R_US","R_0603_1608Metric",162.038250,-88.560000,0.000000,bottom
"R6"," ","R_0603_1608Metric",121.170000,-132.438000,-90.000000,bottom
"R11","R_US","R_0603_1608Metric",117.480000,-132.448000,-90.000000,bottom
"R12","R_US","R_0603_1608Metric",113.970000,-132.427000,-90.000000,bottom
"R34","R_Small_US","R_0603_1608Metric",162.110000,-52.910000,180.000000,bottom
"U3","9DMV0141AKILF","QFN50P300X300X100-17N",132.330000,-88.560000,180.000000,bottom
"U4","DS90C401M_NOPB","QFN50P300X300X100-17N",163.670000,-56.970000,180.000000,bottom
