Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C","C_0603_1608Metric",101.602500,-61.165000,-90.000000,top
"C2","C","C_0603_1608Metric",112.810000,-62.220000,180.000000,top
"C3","C","C_0603_1608Metric",114.350000,-60.350000,180.000000,top
"C22","C","C_0603_1608Metric",151.860000,-137.875000,90.000000,top
"C23","C","C_0603_1608Metric",152.160000,-132.010000,90.000000,top
"D1","LED","LED_0201_0603Metric",173.201833,-124.725000,90.000000,top
"D2","LED","LED_0201_0603Metric",173.201833,-119.087500,90.000000,top
"D3","LED","LED_0201_0603Metric",173.201833,-113.340000,90.000000,top
"D4","LED","LED_0201_0603Metric",173.201833,-107.367500,90.000000,top
"FB1","FerriteBead","R_0603_1608Metric",98.592500,-60.380000,180.000000,top
"J1","Conn_01x40","PinHeader_2x20_P2.54mm_Vertical",97.845000,-83.680000,0.000000,top
"J2","Conn_01x09","PinHeader_1x09_P2.54mm_Vertical",165.520000,-125.120000,180.000000,top
"J3","Conn_02x03","PinSocket_2x03_P2.54mm_Horizontal",139.315000,-62.585000,-90.000000,top
"J4","Conn_02x03","PinSocket_2x03_P2.54mm_Horizontal",134.175000,-129.095000,90.000000,top
"J5","SPI","PinHeader_1x04_P2.54mm_Vertical",124.930000,-65.200000,180.000000,top
"J6","Conn_02x03","PinSocket_2x03_P2.54mm_Horizontal",108.485000,-72.565000,0.000000,top
"J7","Conn_Coaxial","SMA_Amphenol_901-144_Vertical",172.540000,-55.280000,0.000000,top
"J8","Conn_02x03","PinSocket_2x03_P2.54mm_Horizontal",164.735000,-98.515000,180.000000,top
"J9","Conn_Coaxial_Power","SMA_Amphenol_901-144_Vertical",169.815000,-135.985000,180.000000,top
"J10","VC","PinHeader_1x02_P2.54mm_Vertical",156.120000,-57.920000,180.000000,top
"J13","DigReset","PinHeader_1x02_P2.54mm_Vertical",147.600000,-57.920000,180.000000,top
"JP1","Jumper_2_Open","PinHeader_1x02_P2.54mm_Vertical",169.425000,-65.680000,90.000000,top
"JP2"," ","PinHeader_1x02_P2.54mm_Vertical",158.280000,-138.090000,-90.000000,top
"JP3"," ","PinHeader_1x02_P2.54mm_Vertical",149.895835,-76.150000,0.000000,top
"JP4"," ","PinHeader_1x02_P2.54mm_Vertical",156.230000,-76.150000,0.000000,top
"JP5"," ","PinHeader_1x02_P2.54mm_Vertical",162.895835,-76.350000,0.000000,top
"JP6"," ","PinHeader_1x02_P2.54mm_Vertical",169.260835,-76.480000,0.000000,top
"JP7"," ","PinHeader_1x02_P2.54mm_Vertical",167.856750,-88.680000,-90.000000,top
"JP8"," ","PinHeader_1x02_P2.54mm_Vertical",121.220000,-138.615000,180.000000,top
"JP9"," ","PinHeader_1x02_P2.54mm_Vertical",117.590000,-138.605000,180.000000,top
"JP10"," ","PinHeader_1x02_P2.54mm_Vertical",113.950000,-138.604000,180.000000,top
"JP12"," ","PinHeader_1x02_P2.54mm_Vertical",158.130000,-132.070000,-90.000000,top
"Q1","Q_NMOS_GSD","SOT-323_SC-70",170.341833,-124.370999,0.000000,top
"Q2","Q_NMOS_GSD","SOT-323_SC-70",170.261833,-118.537332,0.000000,top
"Q3","Q_NMOS_GSD","SOT-323_SC-70",170.261833,-112.703666,0.000000,top
"Q4","Q_NMOS_GSD","SOT-323_SC-70",170.261833,-106.870000,0.000000,top
"R1","R_US","R_0603_1608Metric",149.066835,-83.175000,0.000000,top
"R2","R_US","R_0603_1608Metric",155.413335,-83.235000,0.000000,top
"R3","R_US","R_0603_1608Metric",162.075835,-83.285000,0.000000,top
"R4","R_US","R_0603_1608Metric",168.500835,-83.225000,0.000000,top
"R7","R_US","R_0603_1608Metric",109.542500,-63.140000,90.000000,top
"R8","R_US","R_0603_1608Metric",112.822500,-64.500000,0.000000,top
"R9","1","R_0603_1608Metric",115.820000,-63.680000,90.000000,top
