Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22 uF","C_0603_1608Metric",133.473000,-75.556000,180.000000,bottom
"C2","22 uF","C_0603_1608Metric",133.485000,-79.616000,180.000000,bottom
"C3","2.2 uF","C_0603_1608Metric",133.453000,-82.816000,180.000000,bottom
"C4","2.2 uF","C_0603_1608Metric",137.995000,-72.756000,90.000000,bottom
"C5","220 nF","C_0603_1608Metric",133.423000,-86.206000,180.000000,bottom
"C6","2 nF","C_0603_1608Metric",137.315000,-89.036000,-90.000000,bottom
"C7","220 nF","C_0603_1608Metric",143.925000,-89.126000,-90.000000,bottom
"C8","2 nF","C_0603_1608Metric",140.635000,-88.826000,-90.000000,bottom
"C9","22uF","C_0603_1608Metric",150.475000,-86.096000,0.000000,bottom
"C10","2uF","C_0603_1608Metric",150.348000,-82.667000,0.000000,bottom
"C12","2uF","C_0603_1608Metric",150.320000,-79.823000,0.000000,bottom
"C13","220nF","C_0603_1608Metric",150.375000,-76.236000,0.000000,bottom
"C14","220nF","C_0603_1608Metric",147.385000,-73.036000,90.000000,bottom
"C15","2nF","C_0603_1608Metric",144.225000,-72.936000,90.000000,bottom
"C16","2nF","C_0603_1608Metric",140.955000,-72.986000,90.000000,bottom
"C17","22uF","C_0603_1608Metric",147.335000,-89.126000,-90.000000,bottom
"R68","10k","R_0603_1608Metric",170.520000,-120.900000,0.000000,bottom
"R69","10k","R_0603_1608Metric",158.810000,-112.628000,-90.000000,bottom
"R70","10k","R_0603_1608Metric",155.120000,-112.638000,-90.000000,bottom
"R71","10k","R_0603_1608Metric",151.610000,-112.617000,-90.000000,bottom
